epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(1.1174, device='cuda:0')",0.0,tensor(62.1440),"tensor(1.0998, device='cuda:0')",tensor(65.9500)
1,"tensor(0.6976, device='cuda:0')",0.0,tensor(76.6220),"tensor(0.7366, device='cuda:0')",tensor(76.8200)
2,"tensor(0.5567, device='cuda:0')",0.0,tensor(81.5380),"tensor(0.6900, device='cuda:0')",tensor(77.7300)
3,"tensor(0.4774, device='cuda:0')",0.0,tensor(84.0140),"tensor(0.6509, device='cuda:0')",tensor(79.5800)
4,"tensor(0.4144, device='cuda:0')",0.0,tensor(86.1160),"tensor(0.7071, device='cuda:0')",tensor(79.2800)
5,"tensor(0.3718, device='cuda:0')",0.0,tensor(87.4440),"tensor(0.8875, device='cuda:0')",tensor(75.5800)
6,"tensor(0.3258, device='cuda:0')",0.0,tensor(88.8200),"tensor(0.7190, device='cuda:0')",tensor(79.7200)
7,"tensor(0.2987, device='cuda:0')",0.0,tensor(89.7940),"tensor(0.6827, device='cuda:0')",tensor(80.2900)
8,"tensor(0.2675, device='cuda:0')",0.0,tensor(90.8120),"tensor(0.6776, device='cuda:0')",tensor(80.4700)
9,"tensor(0.2377, device='cuda:0')",0.0,tensor(91.9300),"tensor(0.6298, device='cuda:0')",tensor(82.1400)
10,"tensor(0.2226, device='cuda:0')",0.0,tensor(92.3820),"tensor(0.6568, device='cuda:0')",tensor(81.3000)
11,"tensor(0.1994, device='cuda:0')",0.0,tensor(93.2340),"tensor(0.6691, device='cuda:0')",tensor(81.8800)
12,"tensor(0.1838, device='cuda:0')",0.0,tensor(93.7300),"tensor(0.7464, device='cuda:0')",tensor(80.8300)
13,"tensor(0.1758, device='cuda:0')",0.0,tensor(94.0700),"tensor(0.7183, device='cuda:0')",tensor(81.5600)
14,"tensor(0.1605, device='cuda:0')",0.0,tensor(94.5300),"tensor(0.7699, device='cuda:0')",tensor(81.1300)
15,"tensor(0.1528, device='cuda:0')",0.0,tensor(94.8600),"tensor(0.6828, device='cuda:0')",tensor(82.4600)
16,"tensor(0.1449, device='cuda:0')",0.0,tensor(95.0100),"tensor(0.7295, device='cuda:0')",tensor(82.0800)
17,"tensor(0.1357, device='cuda:0')",0.0,tensor(95.3840),"tensor(0.6751, device='cuda:0')",tensor(82.7300)
18,"tensor(0.1281, device='cuda:0')",0.0,tensor(95.6720),"tensor(0.7107, device='cuda:0')",tensor(82.9000)
19,"tensor(0.1224, device='cuda:0')",0.0,tensor(95.7900),"tensor(0.7698, device='cuda:0')",tensor(81.5900)
20,"tensor(0.1124, device='cuda:0')",0.0,tensor(96.1800),"tensor(0.8016, device='cuda:0')",tensor(80.9400)
21,"tensor(0.1125, device='cuda:0')",0.0,tensor(96.2200),"tensor(0.7759, device='cuda:0')",tensor(81.8900)
22,"tensor(0.1068, device='cuda:0')",0.0,tensor(96.3560),"tensor(0.7618, device='cuda:0')",tensor(82.1800)
23,"tensor(0.1021, device='cuda:0')",0.0,tensor(96.5300),"tensor(0.8303, device='cuda:0')",tensor(81.1600)
24,"tensor(0.0936, device='cuda:0')",0.0,tensor(96.8120),"tensor(0.8282, device='cuda:0')",tensor(81.7000)
25,"tensor(0.0946, device='cuda:0')",0.0,tensor(96.7540),"tensor(0.8808, device='cuda:0')",tensor(81.1200)
26,"tensor(0.0903, device='cuda:0')",0.0,tensor(96.9500),"tensor(0.8434, device='cuda:0')",tensor(82.0400)
27,"tensor(0.0870, device='cuda:0')",0.0,tensor(97.0700),"tensor(0.8061, device='cuda:0')",tensor(82.3100)
28,"tensor(0.0831, device='cuda:0')",0.0,tensor(97.1400),"tensor(0.7824, device='cuda:0')",tensor(82.5900)
29,"tensor(0.0821, device='cuda:0')",0.0,tensor(97.2800),"tensor(0.7807, device='cuda:0')",tensor(82.9600)
