epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(1.8401, device='cuda:0')",0.0,tensor(38.9253),"tensor(1.2284, device='cuda:0')",tensor(59.7100)
1,"tensor(1.5538, device='cuda:0')",0.0,tensor(51.7325),"tensor(0.9910, device='cuda:0')",tensor(67.6500)
2,"tensor(1.4499, device='cuda:0')",0.0,tensor(55.7960),"tensor(0.9132, device='cuda:0')",tensor(71.8100)
3,"tensor(1.3914, device='cuda:0')",0.0,tensor(57.5044),"tensor(0.9560, device='cuda:0')",tensor(69.8500)
4,"tensor(1.3419, device='cuda:0')",0.0,tensor(59.3992),"tensor(0.8385, device='cuda:0')",tensor(75.3200)
5,"tensor(1.3383, device='cuda:0')",0.0,tensor(59.3667),"tensor(0.7956, device='cuda:0')",tensor(77.3500)
6,"tensor(1.2864, device='cuda:0')",0.0,tensor(61.4852),"tensor(0.7863, device='cuda:0')",tensor(77.5400)
7,"tensor(1.2726, device='cuda:0')",0.0,tensor(61.9529),"tensor(0.6963, device='cuda:0')",tensor(80.4200)
8,"tensor(1.2563, device='cuda:0')",0.0,tensor(62.3388),"tensor(0.7173, device='cuda:0')",tensor(80.2200)
9,"tensor(1.2053, device='cuda:0')",0.0,tensor(63.9532),"tensor(0.6878, device='cuda:0')",tensor(80.1900)
10,"tensor(1.1979, device='cuda:0')",0.0,tensor(64.5873),"tensor(0.7827, device='cuda:0')",tensor(78.1600)
11,"tensor(1.1863, device='cuda:0')",0.0,tensor(64.5691),"tensor(0.6630, device='cuda:0')",tensor(81.8200)
12,"tensor(1.1745, device='cuda:0')",0.0,tensor(65.2032),"tensor(0.7188, device='cuda:0')",tensor(80.1400)
13,"tensor(1.1348, device='cuda:0')",0.0,tensor(66.7967),"tensor(0.6287, device='cuda:0')",tensor(82.4100)
14,"tensor(1.1840, device='cuda:0')",0.0,tensor(64.6255),"tensor(0.6893, device='cuda:0')",tensor(81.7900)
15,"tensor(1.1713, device='cuda:0')",0.0,tensor(65.3257),"tensor(0.6450, device='cuda:0')",tensor(82.2600)
16,"tensor(1.1160, device='cuda:0')",0.0,tensor(67.3888),"tensor(0.6603, device='cuda:0')",tensor(81.3100)
17,"tensor(1.1688, device='cuda:0')",0.0,tensor(65.2723),"tensor(0.6629, device='cuda:0')",tensor(82.1300)
18,"tensor(1.1515, device='cuda:0')",0.0,tensor(65.9117),"tensor(0.6897, device='cuda:0')",tensor(81.3000)
19,"tensor(1.1372, device='cuda:0')",0.0,tensor(66.8916),"tensor(0.7103, device='cuda:0')",tensor(81.3300)
20,"tensor(1.1010, device='cuda:0')",0.0,tensor(67.7973),"tensor(0.7031, device='cuda:0')",tensor(80.9700)
21,"tensor(1.1538, device='cuda:0')",0.0,tensor(65.6317),"tensor(0.7909, device='cuda:0')",tensor(76.7500)
22,"tensor(1.1011, device='cuda:0')",0.0,tensor(67.7370),"tensor(0.6757, device='cuda:0')",tensor(81.4900)
23,"tensor(1.1160, device='cuda:0')",0.0,tensor(67.2205),"tensor(0.6688, device='cuda:0')",tensor(82.1600)
24,"tensor(1.1190, device='cuda:0')",0.0,tensor(67.3427),"tensor(0.6924, device='cuda:0')",tensor(81.7000)
25,"tensor(1.1283, device='cuda:0')",0.0,tensor(66.5068),"tensor(0.6460, device='cuda:0')",tensor(82.2600)
26,"tensor(1.1064, device='cuda:0')",0.0,tensor(66.7692),"tensor(0.6949, device='cuda:0')",tensor(80.3300)
27,"tensor(1.0782, device='cuda:0')",0.0,tensor(68.4394),"tensor(0.6394, device='cuda:0')",tensor(83.2100)
28,"tensor(1.0723, device='cuda:0')",0.0,tensor(69.0931),"tensor(0.6562, device='cuda:0')",tensor(82.2100)
29,"tensor(1.0710, device='cuda:0')",0.0,tensor(68.6733),"tensor(0.6450, device='cuda:0')",tensor(82.4100)
