epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(1.5489, device='cuda:0')",0.0,tensor(46.8700),"tensor(1.0325, device='cuda:0')",tensor(70.1200)
1,"tensor(1.2682, device='cuda:0')",0.0,tensor(57.2556),"tensor(0.7428, device='cuda:0')",tensor(75.8100)
2,"tensor(1.1674, device='cuda:0')",0.0,tensor(60.8273),"tensor(0.6898, device='cuda:0')",tensor(78.9600)
3,"tensor(1.1057, device='cuda:0')",0.0,tensor(63.5734),"tensor(0.6742, device='cuda:0')",tensor(78.3000)
4,"tensor(1.0625, device='cuda:0')",0.0,tensor(65.0731),"tensor(0.6306, device='cuda:0')",tensor(80.7000)
5,"tensor(1.0479, device='cuda:0')",0.0,tensor(65.2568),"tensor(0.6129, device='cuda:0')",tensor(81.7700)
6,"tensor(1.0239, device='cuda:0')",0.0,tensor(65.9444),"tensor(0.6028, device='cuda:0')",tensor(81.2800)
7,"tensor(0.9993, device='cuda:0')",0.0,tensor(66.7977),"tensor(0.6886, device='cuda:0')",tensor(79.3700)
8,"tensor(0.9763, device='cuda:0')",0.0,tensor(67.9500),"tensor(0.6598, device='cuda:0')",tensor(81.3100)
9,"tensor(0.9645, device='cuda:0')",0.0,tensor(68.0379),"tensor(0.7042, device='cuda:0')",tensor(79.8300)
10,"tensor(0.9515, device='cuda:0')",0.0,tensor(68.5777),"tensor(0.6745, device='cuda:0')",tensor(81.1900)
11,"tensor(0.9238, device='cuda:0')",0.0,tensor(69.6884),"tensor(0.8189, device='cuda:0')",tensor(78.4200)
12,"tensor(0.9414, device='cuda:0')",0.0,tensor(68.5351),"tensor(0.6701, device='cuda:0')",tensor(82.0300)
13,"tensor(0.9389, device='cuda:0')",0.0,tensor(68.8745),"tensor(0.5832, device='cuda:0')",tensor(83.6000)
14,"tensor(0.9155, device='cuda:0')",0.0,tensor(69.9621),"tensor(0.6897, device='cuda:0')",tensor(81.4700)
15,"tensor(0.9061, device='cuda:0')",0.0,tensor(70.3822),"tensor(0.6672, device='cuda:0')",tensor(82.3000)
16,"tensor(0.9020, device='cuda:0')",0.0,tensor(70.4629),"tensor(0.6488, device='cuda:0')",tensor(82.9000)
17,"tensor(0.8953, device='cuda:0')",0.0,tensor(70.4594),"tensor(0.6244, device='cuda:0')",tensor(82.6800)
18,"tensor(0.8896, device='cuda:0')",0.0,tensor(70.6783),"tensor(0.6720, device='cuda:0')",tensor(82.1500)
19,"tensor(0.8901, device='cuda:0')",0.0,tensor(70.6816),"tensor(0.6343, device='cuda:0')",tensor(83.1400)
20,"tensor(0.8715, device='cuda:0')",0.0,tensor(71.9698),"tensor(0.6502, device='cuda:0')",tensor(83.8300)
21,"tensor(0.8699, device='cuda:0')",0.0,tensor(71.6310),"tensor(0.6583, device='cuda:0')",tensor(82.7900)
22,"tensor(0.8638, device='cuda:0')",0.0,tensor(71.6807),"tensor(0.6244, device='cuda:0')",tensor(83.9400)
23,"tensor(0.8714, device='cuda:0')",0.0,tensor(71.4544),"tensor(0.7419, device='cuda:0')",tensor(82.3300)
24,"tensor(0.8673, device='cuda:0')",0.0,tensor(71.8646),"tensor(0.7027, device='cuda:0')",tensor(82.9300)
25,"tensor(0.8617, device='cuda:0')",0.0,tensor(71.8118),"tensor(0.6836, device='cuda:0')",tensor(82.6300)
26,"tensor(0.8752, device='cuda:0')",0.0,tensor(71.3329),"tensor(0.6698, device='cuda:0')",tensor(83.4400)
27,"tensor(0.8760, device='cuda:0')",0.0,tensor(71.2223),"tensor(0.6813, device='cuda:0')",tensor(83.0900)
28,"tensor(0.8627, device='cuda:0')",0.0,tensor(72.0735),"tensor(0.6109, device='cuda:0')",tensor(83.7200)
29,"tensor(0.8564, device='cuda:0')",0.0,tensor(71.9139),"tensor(0.6498, device='cuda:0')",tensor(83.1300)
