epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(1.8520, device='cuda:0')",0.0,tensor(38.1330),"tensor(1.1646, device='cuda:0')",tensor(62.2000)
1,"tensor(1.5934, device='cuda:0')",0.0,tensor(50.0632),"tensor(1.2364, device='cuda:0')",tensor(61.6900)
2,"tensor(1.5097, device='cuda:0')",0.0,tensor(53.3947),"tensor(0.8179, device='cuda:0')",tensor(75.3000)
3,"tensor(1.4606, device='cuda:0')",0.0,tensor(55.3491),"tensor(0.8479, device='cuda:0')",tensor(74.7500)
4,"tensor(1.4019, device='cuda:0')",0.0,tensor(56.9812),"tensor(0.7395, device='cuda:0')",tensor(77.9400)
5,"tensor(1.3898, device='cuda:0')",0.0,tensor(57.3724),"tensor(0.8446, device='cuda:0')",tensor(74.3800)
6,"tensor(1.3492, device='cuda:0')",0.0,tensor(58.9751),"tensor(0.8912, device='cuda:0')",tensor(74.4000)
7,"tensor(1.3546, device='cuda:0')",0.0,tensor(58.6492),"tensor(0.7657, device='cuda:0')",tensor(77.7300)
8,"tensor(1.3673, device='cuda:0')",0.0,tensor(58.3711),"tensor(0.7878, device='cuda:0')",tensor(76.7400)
9,"tensor(1.3872, device='cuda:0')",0.0,tensor(57.2477),"tensor(0.8376, device='cuda:0')",tensor(74.4900)
10,"tensor(1.3261, device='cuda:0')",0.0,tensor(59.6321),"tensor(0.6846, device='cuda:0')",tensor(79.8800)
11,"tensor(1.3214, device='cuda:0')",0.0,tensor(59.6932),"tensor(0.6900, device='cuda:0')",tensor(79.9700)
12,"tensor(1.3452, device='cuda:0')",0.0,tensor(58.7390),"tensor(0.7950, device='cuda:0')",tensor(76.3100)
13,"tensor(1.2936, device='cuda:0')",0.0,tensor(60.6500),"tensor(0.7583, device='cuda:0')",tensor(78.3400)
14,"tensor(1.3206, device='cuda:0')",0.0,tensor(59.7003),"tensor(0.7124, device='cuda:0')",tensor(80.5700)
15,"tensor(1.3420, device='cuda:0')",0.0,tensor(58.6945),"tensor(0.7584, device='cuda:0')",tensor(77.7100)
16,"tensor(1.3114, device='cuda:0')",0.0,tensor(59.9868),"tensor(0.8013, device='cuda:0')",tensor(75.6700)
17,"tensor(1.2843, device='cuda:0')",0.0,tensor(60.8332),"tensor(0.6785, device='cuda:0')",tensor(81.8400)
18,"tensor(1.3101, device='cuda:0')",0.0,tensor(59.7496),"tensor(0.7049, device='cuda:0')",tensor(81.2700)
19,"tensor(1.3010, device='cuda:0')",0.0,tensor(60.2414),"tensor(0.7181, device='cuda:0')",tensor(80.5100)
20,"tensor(1.2733, device='cuda:0')",0.0,tensor(61.4875),"tensor(0.6511, device='cuda:0')",tensor(82.2900)
21,"tensor(1.2929, device='cuda:0')",0.0,tensor(60.6969),"tensor(0.7355, device='cuda:0')",tensor(78.9600)
22,"tensor(1.2743, device='cuda:0')",0.0,tensor(61.4696),"tensor(0.7093, device='cuda:0')",tensor(81.5200)
23,"tensor(1.2770, device='cuda:0')",0.0,tensor(61.1682),"tensor(0.7249, device='cuda:0')",tensor(79.7100)
24,"tensor(1.2967, device='cuda:0')",0.0,tensor(60.5049),"tensor(0.7013, device='cuda:0')",tensor(81.3100)
25,"tensor(1.2891, device='cuda:0')",0.0,tensor(60.6730),"tensor(0.7856, device='cuda:0')",tensor(78.5100)
26,"tensor(1.2615, device='cuda:0')",0.0,tensor(61.9244),"tensor(0.7153, device='cuda:0')",tensor(80.0600)
27,"tensor(1.2511, device='cuda:0')",0.0,tensor(61.9265),"tensor(0.6894, device='cuda:0')",tensor(81.4500)
28,"tensor(1.2783, device='cuda:0')",0.0,tensor(61.2908),"tensor(0.7402, device='cuda:0')",tensor(79.2100)
29,"tensor(1.2632, device='cuda:0')",0.0,tensor(61.6038),"tensor(0.7070, device='cuda:0')",tensor(80.5200)
