epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(1.5852, device='cuda:0')",0.0,tensor(49.3322),"tensor(0.9136, device='cuda:0')",tensor(72.1700)
1,"tensor(1.2562, device='cuda:0')",0.0,tensor(63.1246),"tensor(0.7735, device='cuda:0')",tensor(75.3300)
2,"tensor(1.1676, device='cuda:0')",0.0,tensor(66.3281),"tensor(0.7485, device='cuda:0')",tensor(76.2400)
3,"tensor(1.1023, device='cuda:0')",0.0,tensor(68.3585),"tensor(0.8598, device='cuda:0')",tensor(73.6100)
4,"tensor(1.0596, device='cuda:0')",0.0,tensor(69.9488),"tensor(0.6650, device='cuda:0')",tensor(79.8500)
5,"tensor(1.0365, device='cuda:0')",0.0,tensor(70.5446),"tensor(0.7256, device='cuda:0')",tensor(78.5300)
6,"tensor(0.9986, device='cuda:0')",0.0,tensor(71.8226),"tensor(0.6412, device='cuda:0')",tensor(80.4700)
7,"tensor(0.9505, device='cuda:0')",0.0,tensor(73.5068),"tensor(0.6535, device='cuda:0')",tensor(80.2000)
8,"tensor(0.9408, device='cuda:0')",0.0,tensor(73.3418),"tensor(0.6131, device='cuda:0')",tensor(81.1600)
9,"tensor(0.9354, device='cuda:0')",0.0,tensor(73.9009),"tensor(0.5872, device='cuda:0')",tensor(82.3400)
10,"tensor(0.9187, device='cuda:0')",0.0,tensor(74.3704),"tensor(0.6324, device='cuda:0')",tensor(80.2100)
11,"tensor(0.9036, device='cuda:0')",0.0,tensor(74.8706),"tensor(0.6270, device='cuda:0')",tensor(80.6800)
12,"tensor(0.9332, device='cuda:0')",0.0,tensor(74.1035),"tensor(0.6375, device='cuda:0')",tensor(82.4800)
13,"tensor(0.8700, device='cuda:0')",0.0,tensor(75.8445),"tensor(0.6200, device='cuda:0')",tensor(81.8900)
14,"tensor(0.8629, device='cuda:0')",0.0,tensor(76.1854),"tensor(0.6110, device='cuda:0')",tensor(82.0400)
15,"tensor(0.8222, device='cuda:0')",0.0,tensor(77.5554),"tensor(0.5758, device='cuda:0')",tensor(82.9600)
16,"tensor(0.8364, device='cuda:0')",0.0,tensor(77.2764),"tensor(0.6242, device='cuda:0')",tensor(81.4800)
17,"tensor(0.8431, device='cuda:0')",0.0,tensor(77.0262),"tensor(0.6181, device='cuda:0')",tensor(81.6900)
18,"tensor(0.8176, device='cuda:0')",0.0,tensor(77.7661),"tensor(0.6617, device='cuda:0')",tensor(79.7000)
19,"tensor(0.7869, device='cuda:0')",0.0,tensor(78.5704),"tensor(0.5973, device='cuda:0')",tensor(83.1200)
20,"tensor(0.8909, device='cuda:0')",0.0,tensor(75.0715),"tensor(0.6385, device='cuda:0')",tensor(81.9800)
21,"tensor(0.8334, device='cuda:0')",0.0,tensor(77.2383),"tensor(0.5729, device='cuda:0')",tensor(83.1800)
22,"tensor(0.8060, device='cuda:0')",0.0,tensor(78.0292),"tensor(0.5911, device='cuda:0')",tensor(83.3900)
23,"tensor(0.8087, device='cuda:0')",0.0,tensor(78.1002),"tensor(0.6059, device='cuda:0')",tensor(82.7800)
24,"tensor(0.7846, device='cuda:0')",0.0,tensor(78.7637),"tensor(0.5727, device='cuda:0')",tensor(83.8000)
25,"tensor(0.7515, device='cuda:0')",0.0,tensor(79.7625),"tensor(0.5971, device='cuda:0')",tensor(83.2400)
26,"tensor(0.7517, device='cuda:0')",0.0,tensor(79.7170),"tensor(0.5974, device='cuda:0')",tensor(82.0700)
27,"tensor(0.7605, device='cuda:0')",0.0,tensor(79.5556),"tensor(0.5745, device='cuda:0')",tensor(83.7200)
28,"tensor(0.7874, device='cuda:0')",0.0,tensor(78.7155),"tensor(0.6164, device='cuda:0')",tensor(83.2200)
29,"tensor(0.7087, device='cuda:0')",0.0,tensor(81.2600),"tensor(0.5618, device='cuda:0')",tensor(83.8500)
