epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(1.6433, device='cuda:0')",0.0,tensor(43.3735),"tensor(1.2930, device='cuda:0')",tensor(64.3100)
1,"tensor(1.3486, device='cuda:0')",0.0,tensor(54.5961),"tensor(0.8134, device='cuda:0')",tensor(74.3800)
2,"tensor(1.2502, device='cuda:0')",0.0,tensor(57.8238),"tensor(0.8502, device='cuda:0')",tensor(73.4500)
3,"tensor(1.2160, device='cuda:0')",0.0,tensor(59.2377),"tensor(0.7695, device='cuda:0')",tensor(75.6300)
4,"tensor(1.1928, device='cuda:0')",0.0,tensor(59.9123),"tensor(0.6782, device='cuda:0')",tensor(78.4400)
5,"tensor(1.1497, device='cuda:0')",0.0,tensor(61.3737),"tensor(0.7590, device='cuda:0')",tensor(76.6500)
6,"tensor(1.1221, device='cuda:0')",0.0,tensor(62.2608),"tensor(0.5987, device='cuda:0')",tensor(80.9100)
7,"tensor(1.0959, device='cuda:0')",0.0,tensor(63.0191),"tensor(0.5961, device='cuda:0')",tensor(82.1600)
8,"tensor(1.0877, device='cuda:0')",0.0,tensor(62.8546),"tensor(0.6956, device='cuda:0')",tensor(81.2600)
9,"tensor(1.0709, device='cuda:0')",0.0,tensor(63.7188),"tensor(0.6949, device='cuda:0')",tensor(79.6000)
10,"tensor(1.0627, device='cuda:0')",0.0,tensor(64.1292),"tensor(0.6470, device='cuda:0')",tensor(81.0400)
11,"tensor(1.0550, device='cuda:0')",0.0,tensor(64.2661),"tensor(0.5805, device='cuda:0')",tensor(82.6400)
12,"tensor(1.0621, device='cuda:0')",0.0,tensor(63.8284),"tensor(0.6214, device='cuda:0')",tensor(82.5600)
13,"tensor(1.0382, device='cuda:0')",0.0,tensor(64.9477),"tensor(0.6153, device='cuda:0')",tensor(82.1300)
14,"tensor(1.0352, device='cuda:0')",0.0,tensor(64.9522),"tensor(0.7908, device='cuda:0')",tensor(81.0800)
15,"tensor(1.0338, device='cuda:0')",0.0,tensor(64.9852),"tensor(0.5995, device='cuda:0')",tensor(83.2200)
16,"tensor(1.0070, device='cuda:0')",0.0,tensor(65.8552),"tensor(0.7508, device='cuda:0')",tensor(83.)
17,"tensor(1.0091, device='cuda:0')",0.0,tensor(65.8721),"tensor(0.5977, device='cuda:0')",tensor(83.7400)
18,"tensor(0.9970, device='cuda:0')",0.0,tensor(66.2594),"tensor(0.6023, device='cuda:0')",tensor(84.2600)
19,"tensor(1.0157, device='cuda:0')",0.0,tensor(65.6327),"tensor(0.6868, device='cuda:0')",tensor(83.2400)
20,"tensor(1.0010, device='cuda:0')",0.0,tensor(65.8058),"tensor(0.5992, device='cuda:0')",tensor(84.3700)
21,"tensor(0.9925, device='cuda:0')",0.0,tensor(66.2249),"tensor(0.5742, device='cuda:0')",tensor(84.0400)
22,"tensor(0.9776, device='cuda:0')",0.0,tensor(66.9663),"tensor(0.5625, device='cuda:0')",tensor(85.3400)
23,"tensor(0.9731, device='cuda:0')",0.0,tensor(66.9961),"tensor(0.6398, device='cuda:0')",tensor(82.9700)
24,"tensor(0.9685, device='cuda:0')",0.0,tensor(67.0790),"tensor(0.6912, device='cuda:0')",tensor(83.5300)
25,"tensor(0.9792, device='cuda:0')",0.0,tensor(66.3659),"tensor(0.5675, device='cuda:0')",tensor(84.5900)
26,"tensor(0.9639, device='cuda:0')",0.0,tensor(66.8584),"tensor(0.6594, device='cuda:0')",tensor(82.6600)
27,"tensor(0.9792, device='cuda:0')",0.0,tensor(66.7141),"tensor(0.6313, device='cuda:0')",tensor(84.2700)
28,"tensor(0.9402, device='cuda:0')",0.0,tensor(68.3393),"tensor(0.7023, device='cuda:0')",tensor(84.2200)
29,"tensor(0.9429, device='cuda:0')",0.0,tensor(68.2936),"tensor(0.5501, device='cuda:0')",tensor(83.8200)
