epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(2.5290, device='cuda:0')",0.0,tensor(13.9961),"tensor(2.4831, device='cuda:0')",tensor(12.3400)
1,"tensor(2.1623, device='cuda:0')",0.0,tensor(19.7158),"tensor(2.0269, device='cuda:0')",tensor(25.4800)
2,"tensor(2.0835, device='cuda:0')",0.0,tensor(23.1430),"tensor(2.1210, device='cuda:0')",tensor(22.5500)
3,"tensor(2.0396, device='cuda:0')",0.0,tensor(25.3663),"tensor(1.9627, device='cuda:0')",tensor(26.9200)
4,"tensor(1.9988, device='cuda:0')",0.0,tensor(26.9953),"tensor(1.9151, device='cuda:0')",tensor(31.6100)
5,"tensor(1.9487, device='cuda:0')",0.0,tensor(29.6776),"tensor(1.8142, device='cuda:0')",tensor(33.3800)
6,"tensor(1.9233, device='cuda:0')",0.0,tensor(30.8187),"tensor(1.7458, device='cuda:0')",tensor(36.6100)
7,"tensor(1.8914, device='cuda:0')",0.0,tensor(32.2555),"tensor(2.1836, device='cuda:0')",tensor(23.9400)
8,"tensor(1.9096, device='cuda:0')",0.0,tensor(31.4838),"tensor(1.9482, device='cuda:0')",tensor(29.3700)
9,"tensor(1.8889, device='cuda:0')",0.0,tensor(32.2597),"tensor(2.0828, device='cuda:0')",tensor(24.2100)
10,"tensor(1.8749, device='cuda:0')",0.0,tensor(32.6502),"tensor(1.7281, device='cuda:0')",tensor(39.9700)
11,"tensor(1.8640, device='cuda:0')",0.0,tensor(33.4449),"tensor(1.7451, device='cuda:0')",tensor(36.1600)
12,"tensor(1.8373, device='cuda:0')",0.0,tensor(34.6387),"tensor(1.6598, device='cuda:0')",tensor(41.2200)
13,"tensor(1.8216, device='cuda:0')",0.0,tensor(35.6718),"tensor(1.8085, device='cuda:0')",tensor(35.6300)
14,"tensor(1.8988, device='cuda:0')",0.0,tensor(32.2875),"tensor(2.0386, device='cuda:0')",tensor(32.9800)
15,"tensor(1.9598, device='cuda:0')",0.0,tensor(28.9572),"tensor(1.8898, device='cuda:0')",tensor(27.9000)
16,"tensor(1.9162, device='cuda:0')",0.0,tensor(31.3641),"tensor(2.2362, device='cuda:0')",tensor(21.0600)
17,"tensor(1.9672, device='cuda:0')",0.0,tensor(28.2926),"tensor(2.4693, device='cuda:0')",tensor(19.2000)
18,"tensor(1.9095, device='cuda:0')",0.0,tensor(30.7386),"tensor(1.8700, device='cuda:0')",tensor(31.7700)
19,"tensor(2.0299, device='cuda:0')",0.0,tensor(26.0223),"tensor(2.3860, device='cuda:0')",tensor(17.8100)
20,"tensor(2.1327, device='cuda:0')",0.0,tensor(21.0535),"tensor(2.1328, device='cuda:0')",tensor(23.5400)
21,"tensor(2.0320, device='cuda:0')",0.0,tensor(25.6313),"tensor(1.8574, device='cuda:0')",tensor(31.4700)
22,"tensor(1.9575, device='cuda:0')",0.0,tensor(28.9095),"tensor(1.9248, device='cuda:0')",tensor(30.7500)
23,"tensor(1.9607, device='cuda:0')",0.0,tensor(29.1441),"tensor(1.8371, device='cuda:0')",tensor(33.9000)
24,"tensor(1.9145, device='cuda:0')",0.0,tensor(30.7228),"tensor(3.1385, device='cuda:0')",tensor(13.3300)
25,"tensor(1.9261, device='cuda:0')",0.0,tensor(30.4129),"tensor(1.8249, device='cuda:0')",tensor(30.9200)
26,"tensor(1.9393, device='cuda:0')",0.0,tensor(30.0298),"tensor(1.9120, device='cuda:0')",tensor(31.6800)
27,"tensor(1.9288, device='cuda:0')",0.0,tensor(30.3117),"tensor(2.2512, device='cuda:0')",tensor(17.3600)
28,"tensor(1.9740, device='cuda:0')",0.0,tensor(26.8164),"tensor(1.7792, device='cuda:0')",tensor(33.3700)
29,"tensor(1.9213, device='cuda:0')",0.0,tensor(30.0489),"tensor(1.7236, device='cuda:0')",tensor(37.6600)
