epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(2.3113, device='cuda:0')",0.0,tensor(21.0420),"tensor(2.1255, device='cuda:0')",tensor(23.4300)
1,"tensor(1.9387, device='cuda:0')",0.0,tensor(28.4900),"tensor(1.9492, device='cuda:0')",tensor(28.3900)
2,"tensor(1.8972, device='cuda:0')",0.0,tensor(29.2980),"tensor(2.0775, device='cuda:0')",tensor(24.6300)
3,"tensor(1.8820, device='cuda:0')",0.0,tensor(30.2560),"tensor(1.8191, device='cuda:0')",tensor(33.)
4,"tensor(1.8923, device='cuda:0')",0.0,tensor(30.0400),"tensor(2.2398, device='cuda:0')",tensor(21.7100)
5,"tensor(1.8451, device='cuda:0')",0.0,tensor(31.4360),"tensor(1.9829, device='cuda:0')",tensor(27.5600)
6,"tensor(1.9566, device='cuda:0')",0.0,tensor(27.0860),"tensor(2.0375, device='cuda:0')",tensor(24.5400)
7,"tensor(1.9607, device='cuda:0')",0.0,tensor(26.0460),"tensor(1.9464, device='cuda:0')",tensor(27.0500)
8,"tensor(1.9515, device='cuda:0')",0.0,tensor(26.9960),"tensor(2.2721, device='cuda:0')",tensor(16.3300)
9,"tensor(1.9365, device='cuda:0')",0.0,tensor(26.5980),"tensor(1.8653, device='cuda:0')",tensor(29.7700)
10,"tensor(1.8948, device='cuda:0')",0.0,tensor(28.5580),"tensor(2.0207, device='cuda:0')",tensor(24.9000)
11,"tensor(1.9236, device='cuda:0')",0.0,tensor(27.8180),"tensor(2.0142, device='cuda:0')",tensor(27.8200)
12,"tensor(1.8476, device='cuda:0')",0.0,tensor(31.1720),"tensor(1.8535, device='cuda:0')",tensor(29.2100)
13,"tensor(1.9081, device='cuda:0')",0.0,tensor(27.9320),"tensor(1.9645, device='cuda:0')",tensor(28.5600)
14,"tensor(1.7877, device='cuda:0')",0.0,tensor(33.2980),"tensor(2.0359, device='cuda:0')",tensor(25.7000)
15,"tensor(1.9540, device='cuda:0')",0.0,tensor(26.3880),"tensor(2.0166, device='cuda:0')",tensor(23.4300)
16,"tensor(2.0129, device='cuda:0')",0.0,tensor(22.7800),"tensor(4.3970, device='cuda:0')",tensor(11.3500)
17,"tensor(1.8895, device='cuda:0')",0.0,tensor(27.6220),"tensor(1.9178, device='cuda:0')",tensor(29.3400)
18,"tensor(1.7812, device='cuda:0')",0.0,tensor(32.4420),"tensor(1.8813, device='cuda:0')",tensor(29.7900)
19,"tensor(1.7666, device='cuda:0')",0.0,tensor(33.9020),"tensor(1.9696, device='cuda:0')",tensor(27.2200)
20,"tensor(1.7717, device='cuda:0')",0.0,tensor(33.8160),"tensor(1.9529, device='cuda:0')",tensor(28.1800)
21,"tensor(1.7940, device='cuda:0')",0.0,tensor(33.0480),"tensor(2.6551, device='cuda:0')",tensor(18.9900)
22,"tensor(1.8595, device='cuda:0')",0.0,tensor(30.2860),"tensor(1.8495, device='cuda:0')",tensor(32.4800)
23,"tensor(1.7393, device='cuda:0')",0.0,tensor(35.3400),"tensor(1.9325, device='cuda:0')",tensor(30.7600)
24,"tensor(1.8225, device='cuda:0')",0.0,tensor(32.5100),"tensor(2.7612, device='cuda:0')",tensor(16.9500)
25,"tensor(1.7819, device='cuda:0')",0.0,tensor(33.8340),"tensor(2.0891, device='cuda:0')",tensor(28.2000)
26,"tensor(1.7530, device='cuda:0')",0.0,tensor(35.2620),"tensor(3.0886, device='cuda:0')",tensor(15.7500)
27,"tensor(1.7344, device='cuda:0')",0.0,tensor(35.9620),"tensor(3.1807, device='cuda:0')",tensor(17.5200)
28,"tensor(1.7010, device='cuda:0')",0.0,tensor(36.9760),"tensor(1.8512, device='cuda:0')",tensor(32.6100)
29,"tensor(1.5543, device='cuda:0')",0.0,tensor(42.4600),"tensor(1.6730, device='cuda:0')",tensor(38.7000)
