epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(2.5988, device='cuda:0')",0.0,tensor(16.4150),"tensor(2.1065, device='cuda:0')",tensor(24.0700)
1,"tensor(2.1234, device='cuda:0')",0.0,tensor(22.1954),"tensor(1.9791, device='cuda:0')",tensor(26.8100)
2,"tensor(2.0674, device='cuda:0')",0.0,tensor(24.8577),"tensor(1.9732, device='cuda:0')",tensor(28.4500)
3,"tensor(2.0405, device='cuda:0')",0.0,tensor(26.0568),"tensor(2.0376, device='cuda:0')",tensor(22.8200)
4,"tensor(1.9996, device='cuda:0')",0.0,tensor(28.6330),"tensor(1.8742, device='cuda:0')",tensor(32.5600)
5,"tensor(1.9977, device='cuda:0')",0.0,tensor(28.8430),"tensor(2.1198, device='cuda:0')",tensor(20.6700)
6,"tensor(2.0493, device='cuda:0')",0.0,tensor(25.7799),"tensor(2.2385, device='cuda:0')",tensor(19.0900)
7,"tensor(2.0589, device='cuda:0')",0.0,tensor(25.2904),"tensor(3.0567, device='cuda:0')",tensor(13.4100)
8,"tensor(2.0175, device='cuda:0')",0.0,tensor(27.3789),"tensor(1.8305, device='cuda:0')",tensor(35.8500)
9,"tensor(2.0298, device='cuda:0')",0.0,tensor(26.2188),"tensor(1.9093, device='cuda:0')",tensor(28.9200)
10,"tensor(2.0976, device='cuda:0')",0.0,tensor(22.3591),"tensor(1.9503, device='cuda:0')",tensor(28.7000)
11,"tensor(2.0748, device='cuda:0')",0.0,tensor(24.0372),"tensor(2.0584, device='cuda:0')",tensor(23.9000)
12,"tensor(2.0370, device='cuda:0')",0.0,tensor(25.6861),"tensor(1.7837, device='cuda:0')",tensor(35.7100)
13,"tensor(2.0515, device='cuda:0')",0.0,tensor(24.8760),"tensor(1.9619, device='cuda:0')",tensor(31.7300)
14,"tensor(2.0787, device='cuda:0')",0.0,tensor(23.7376),"tensor(2.0201, device='cuda:0')",tensor(26.3000)
15,"tensor(2.0419, device='cuda:0')",0.0,tensor(25.5730),"tensor(1.8605, device='cuda:0')",tensor(28.4800)
16,"tensor(2.0032, device='cuda:0')",0.0,tensor(27.5435),"tensor(2.5678, device='cuda:0')",tensor(20.5900)
17,"tensor(2.0786, device='cuda:0')",0.0,tensor(23.8160),"tensor(1.9983, device='cuda:0')",tensor(25.7300)
18,"tensor(2.0086, device='cuda:0')",0.0,tensor(27.0779),"tensor(1.8201, device='cuda:0')",tensor(34.4400)
19,"tensor(1.9817, device='cuda:0')",0.0,tensor(28.8634),"tensor(1.7823, device='cuda:0')",tensor(36.3100)
20,"tensor(1.9784, device='cuda:0')",0.0,tensor(28.6708),"tensor(2.1509, device='cuda:0')",tensor(21.9000)
21,"tensor(1.9974, device='cuda:0')",0.0,tensor(28.1345),"tensor(1.8063, device='cuda:0')",tensor(35.5100)
22,"tensor(1.9424, device='cuda:0')",0.0,tensor(30.4217),"tensor(1.7292, device='cuda:0')",tensor(39.7000)
23,"tensor(1.9676, device='cuda:0')",0.0,tensor(29.5585),"tensor(1.7449, device='cuda:0')",tensor(36.6700)
24,"tensor(1.9825, device='cuda:0')",0.0,tensor(28.9549),"tensor(2.0882, device='cuda:0')",tensor(24.8400)
25,"tensor(2.0198, device='cuda:0')",0.0,tensor(27.3775),"tensor(1.8630, device='cuda:0')",tensor(33.4500)
26,"tensor(1.9847, device='cuda:0')",0.0,tensor(28.6669),"tensor(1.8658, device='cuda:0')",tensor(35.1400)
27,"tensor(1.9420, device='cuda:0')",0.0,tensor(30.4228),"tensor(1.6885, device='cuda:0')",tensor(40.3000)
28,"tensor(1.9979, device='cuda:0')",0.0,tensor(27.8036),"tensor(1.9690, device='cuda:0')",tensor(26.8700)
29,"tensor(2.0084, device='cuda:0')",0.0,tensor(26.5612),"tensor(1.9115, device='cuda:0')",tensor(30.1100)
