epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(2.6055, device='cuda:0')",0.0,tensor(19.8040),"tensor(2.1569, device='cuda:0')",tensor(18.9400)
1,"tensor(1.8451, device='cuda:0')",0.0,tensor(31.3720),"tensor(2.0787, device='cuda:0')",tensor(25.8400)
2,"tensor(1.7183, device='cuda:0')",0.0,tensor(36.4540),"tensor(1.8010, device='cuda:0')",tensor(35.2200)
3,"tensor(1.5847, device='cuda:0')",0.0,tensor(41.5820),"tensor(1.7851, device='cuda:0')",tensor(35.3800)
4,"tensor(1.5116, device='cuda:0')",0.0,tensor(44.7700),"tensor(1.9935, device='cuda:0')",tensor(31.7000)
5,"tensor(1.4671, device='cuda:0')",0.0,tensor(46.4440),"tensor(1.7445, device='cuda:0')",tensor(36.8900)
6,"tensor(1.4378, device='cuda:0')",0.0,tensor(47.5760),"tensor(1.5938, device='cuda:0')",tensor(43.9800)
7,"tensor(1.3857, device='cuda:0')",0.0,tensor(49.7040),"tensor(1.4793, device='cuda:0')",tensor(46.5200)
8,"tensor(1.3346, device='cuda:0')",0.0,tensor(51.8020),"tensor(1.3809, device='cuda:0')",tensor(51.0100)
9,"tensor(1.2833, device='cuda:0')",0.0,tensor(53.8740),"tensor(1.5019, device='cuda:0')",tensor(45.8600)
10,"tensor(1.2222, device='cuda:0')",0.0,tensor(56.4380),"tensor(1.4066, device='cuda:0')",tensor(49.5100)
11,"tensor(1.2230, device='cuda:0')",0.0,tensor(56.4160),"tensor(1.2856, device='cuda:0')",tensor(54.3400)
12,"tensor(1.2277, device='cuda:0')",0.0,tensor(56.4400),"tensor(1.6038, device='cuda:0')",tensor(46.1800)
13,"tensor(1.1926, device='cuda:0')",0.0,tensor(57.5240),"tensor(1.2848, device='cuda:0')",tensor(54.5300)
14,"tensor(1.1133, device='cuda:0')",0.0,tensor(60.5220),"tensor(1.4080, device='cuda:0')",tensor(51.5900)
15,"tensor(1.1373, device='cuda:0')",0.0,tensor(59.6840),"tensor(1.4613, device='cuda:0')",tensor(51.1200)
16,"tensor(1.0855, device='cuda:0')",0.0,tensor(61.9180),"tensor(1.3164, device='cuda:0')",tensor(55.0600)
17,"tensor(0.9908, device='cuda:0')",0.0,tensor(65.1260),"tensor(1.1663, device='cuda:0')",tensor(59.6400)
18,"tensor(0.9379, device='cuda:0')",0.0,tensor(67.0500),"tensor(1.1016, device='cuda:0')",tensor(61.4500)
19,"tensor(0.8914, device='cuda:0')",0.0,tensor(68.8620),"tensor(1.3252, device='cuda:0')",tensor(55.9400)
20,"tensor(0.8710, device='cuda:0')",0.0,tensor(69.7060),"tensor(0.9524, device='cuda:0')",tensor(67.3000)
21,"tensor(0.8302, device='cuda:0')",0.0,tensor(71.0920),"tensor(0.9558, device='cuda:0')",tensor(66.6600)
22,"tensor(0.7480, device='cuda:0')",0.0,tensor(73.9720),"tensor(0.8940, device='cuda:0')",tensor(68.3900)
23,"tensor(0.7158, device='cuda:0')",0.0,tensor(75.1660),"tensor(0.8884, device='cuda:0')",tensor(69.3300)
24,"tensor(0.6930, device='cuda:0')",0.0,tensor(75.9360),"tensor(0.8584, device='cuda:0')",tensor(70.1800)
25,"tensor(0.6635, device='cuda:0')",0.0,tensor(77.0360),"tensor(0.9007, device='cuda:0')",tensor(69.3000)
26,"tensor(0.6355, device='cuda:0')",0.0,tensor(77.8820),"tensor(0.8464, device='cuda:0')",tensor(71.1100)
27,"tensor(0.6146, device='cuda:0')",0.0,tensor(78.8440),"tensor(0.8866, device='cuda:0')",tensor(70.1600)
28,"tensor(0.6022, device='cuda:0')",0.0,tensor(79.0920),"tensor(0.8468, device='cuda:0')",tensor(70.8300)
29,"tensor(0.5818, device='cuda:0')",0.0,tensor(79.8040),"tensor(0.8185, device='cuda:0')",tensor(71.9300)
