epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(2.2877, device='cuda:0')",0.0,tensor(21.4552),"tensor(1.8986, device='cuda:0')",tensor(30.5100)
1,"tensor(1.9524, device='cuda:0')",0.0,tensor(30.9192),"tensor(1.7501, device='cuda:0')",tensor(38.8000)
2,"tensor(1.8855, device='cuda:0')",0.0,tensor(34.1426),"tensor(1.8834, device='cuda:0')",tensor(33.3300)
3,"tensor(1.8253, device='cuda:0')",0.0,tensor(37.0241),"tensor(1.6134, device='cuda:0')",tensor(45.4500)
4,"tensor(1.9348, device='cuda:0')",0.0,tensor(31.7827),"tensor(1.9646, device='cuda:0')",tensor(27.4900)
5,"tensor(1.8398, device='cuda:0')",0.0,tensor(36.3115),"tensor(1.5600, device='cuda:0')",tensor(49.8100)
6,"tensor(1.7886, device='cuda:0')",0.0,tensor(38.7104),"tensor(1.6014, device='cuda:0')",tensor(44.6800)
7,"tensor(1.7828, device='cuda:0')",0.0,tensor(39.3375),"tensor(1.5151, device='cuda:0')",tensor(49.4600)
8,"tensor(1.7540, device='cuda:0')",0.0,tensor(40.5212),"tensor(1.6683, device='cuda:0')",tensor(44.1300)
9,"tensor(1.7623, device='cuda:0')",0.0,tensor(39.9576),"tensor(1.6402, device='cuda:0')",tensor(43.8600)
10,"tensor(1.7885, device='cuda:0')",0.0,tensor(38.9384),"tensor(2.4766, device='cuda:0')",tensor(15.3800)
11,"tensor(1.8959, device='cuda:0')",0.0,tensor(33.9427),"tensor(1.6782, device='cuda:0')",tensor(41.1700)
12,"tensor(1.8126, device='cuda:0')",0.0,tensor(37.8754),"tensor(1.5495, device='cuda:0')",tensor(46.3900)
13,"tensor(1.7411, device='cuda:0')",0.0,tensor(41.1904),"tensor(1.5361, device='cuda:0')",tensor(48.6700)
14,"tensor(1.7836, device='cuda:0')",0.0,tensor(39.3387),"tensor(1.5355, device='cuda:0')",tensor(50.3900)
15,"tensor(1.7489, device='cuda:0')",0.0,tensor(40.8408),"tensor(1.5699, device='cuda:0')",tensor(45.6300)
16,"tensor(1.7543, device='cuda:0')",0.0,tensor(40.5420),"tensor(2.2198, device='cuda:0')",tensor(43.3000)
17,"tensor(1.7222, device='cuda:0')",0.0,tensor(42.4087),"tensor(1.4898, device='cuda:0')",tensor(51.3100)
18,"tensor(1.8517, device='cuda:0')",0.0,tensor(36.3109),"tensor(1.5565, device='cuda:0')",tensor(46.4700)
19,"tensor(1.8607, device='cuda:0')",0.0,tensor(35.7716),"tensor(1.7921, device='cuda:0')",tensor(37.4400)
20,"tensor(1.7999, device='cuda:0')",0.0,tensor(38.6506),"tensor(1.4950, device='cuda:0')",tensor(49.7900)
21,"tensor(1.7446, device='cuda:0')",0.0,tensor(41.0905),"tensor(1.4899, device='cuda:0')",tensor(49.6300)
22,"tensor(1.6839, device='cuda:0')",0.0,tensor(43.4721),"tensor(1.5370, device='cuda:0')",tensor(48.2100)
23,"tensor(1.7687, device='cuda:0')",0.0,tensor(40.1902),"tensor(1.4819, device='cuda:0')",tensor(50.0900)
24,"tensor(1.7312, device='cuda:0')",0.0,tensor(41.9068),"tensor(1.4197, device='cuda:0')",tensor(53.6700)
25,"tensor(1.7332, device='cuda:0')",0.0,tensor(41.6716),"tensor(1.2940, device='cuda:0')",tensor(58.0100)
26,"tensor(1.6708, device='cuda:0')",0.0,tensor(44.7846),"tensor(1.3072, device='cuda:0')",tensor(57.9900)
27,"tensor(1.6245, device='cuda:0')",0.0,tensor(46.8689),"tensor(1.2321, device='cuda:0')",tensor(61.3700)
28,"tensor(1.6105, device='cuda:0')",0.0,tensor(47.2492),"tensor(1.6507, device='cuda:0')",tensor(42.4700)
29,"tensor(1.6017, device='cuda:0')",0.0,tensor(47.6939),"tensor(1.2439, device='cuda:0')",tensor(61.4700)
