epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(1.8195, device='cuda:0')",0.0,tensor(37.0720),"tensor(1.2780, device='cuda:0')",tensor(57.6400)
1,"tensor(1.4345, device='cuda:0')",0.0,tensor(50.7976),"tensor(1.5002, device='cuda:0')",tensor(53.0400)
2,"tensor(1.3146, device='cuda:0')",0.0,tensor(55.4534),"tensor(1.0494, device='cuda:0')",tensor(69.7100)
3,"tensor(1.2690, device='cuda:0')",0.0,tensor(56.8110),"tensor(0.9850, device='cuda:0')",tensor(72.5800)
4,"tensor(1.2196, device='cuda:0')",0.0,tensor(58.6434),"tensor(0.9985, device='cuda:0')",tensor(75.2000)
5,"tensor(1.2061, device='cuda:0')",0.0,tensor(58.8863),"tensor(1.4348, device='cuda:0')",tensor(57.9500)
6,"tensor(1.1976, device='cuda:0')",0.0,tensor(59.3146),"tensor(1.0232, device='cuda:0')",tensor(72.1400)
7,"tensor(1.1794, device='cuda:0')",0.0,tensor(59.9166),"tensor(0.9893, device='cuda:0')",tensor(73.5000)
8,"tensor(1.1581, device='cuda:0')",0.0,tensor(60.9214),"tensor(1.0609, device='cuda:0')",tensor(73.5500)
9,"tensor(1.1470, device='cuda:0')",0.0,tensor(61.0844),"tensor(0.8182, device='cuda:0')",tensor(77.2100)
10,"tensor(1.1350, device='cuda:0')",0.0,tensor(61.7524),"tensor(0.9231, device='cuda:0')",tensor(76.4500)
11,"tensor(1.1393, device='cuda:0')",0.0,tensor(61.7179),"tensor(0.8716, device='cuda:0')",tensor(75.6600)
12,"tensor(1.1489, device='cuda:0')",0.0,tensor(60.7491),"tensor(0.9923, device='cuda:0')",tensor(73.5100)
13,"tensor(1.1502, device='cuda:0')",0.0,tensor(61.0766),"tensor(1.0965, device='cuda:0')",tensor(66.0500)
14,"tensor(1.1292, device='cuda:0')",0.0,tensor(61.5851),"tensor(0.9852, device='cuda:0')",tensor(76.9900)
15,"tensor(1.1075, device='cuda:0')",0.0,tensor(62.6161),"tensor(0.7420, device='cuda:0')",tensor(79.5800)
16,"tensor(1.1258, device='cuda:0')",0.0,tensor(62.1972),"tensor(1.0127, device='cuda:0')",tensor(74.4300)
17,"tensor(1.1076, device='cuda:0')",0.0,tensor(62.2725),"tensor(0.7605, device='cuda:0')",tensor(81.1600)
18,"tensor(1.0996, device='cuda:0')",0.0,tensor(62.6641),"tensor(0.7235, device='cuda:0')",tensor(81.5700)
19,"tensor(1.1162, device='cuda:0')",0.0,tensor(62.1934),"tensor(0.7670, device='cuda:0')",tensor(78.8400)
20,"tensor(1.0989, device='cuda:0')",0.0,tensor(62.4432),"tensor(0.9550, device='cuda:0')",tensor(76.0800)
21,"tensor(1.1023, device='cuda:0')",0.0,tensor(62.6439),"tensor(0.6734, device='cuda:0')",tensor(81.0800)
22,"tensor(1.1070, device='cuda:0')",0.0,tensor(61.7068),"tensor(0.7493, device='cuda:0')",tensor(80.0400)
23,"tensor(1.0937, device='cuda:0')",0.0,tensor(62.6318),"tensor(0.7509, device='cuda:0')",tensor(78.7200)
24,"tensor(1.0963, device='cuda:0')",0.0,tensor(63.1412),"tensor(0.7149, device='cuda:0')",tensor(78.7300)
25,"tensor(1.0731, device='cuda:0')",0.0,tensor(63.3816),"tensor(0.7929, device='cuda:0')",tensor(78.1600)
26,"tensor(1.0687, device='cuda:0')",0.0,tensor(63.5898),"tensor(0.7151, device='cuda:0')",tensor(80.9300)
27,"tensor(1.0815, device='cuda:0')",0.0,tensor(63.2100),"tensor(0.6483, device='cuda:0')",tensor(81.8100)
28,"tensor(1.0759, device='cuda:0')",0.0,tensor(63.6988),"tensor(0.7087, device='cuda:0')",tensor(81.4700)
29,"tensor(1.0640, device='cuda:0')",0.0,tensor(64.1290),"tensor(0.7718, device='cuda:0')",tensor(80.0900)
