epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(1.8619, device='cuda:0')",0.0,tensor(33.8036),"tensor(1.3804, device='cuda:0')",tensor(51.5800)
1,"tensor(1.4982, device='cuda:0')",0.0,tensor(47.6485),"tensor(1.2721, device='cuda:0')",tensor(56.7600)
2,"tensor(1.3898, device='cuda:0')",0.0,tensor(52.0369),"tensor(1.1117, device='cuda:0')",tensor(64.9300)
3,"tensor(1.3058, device='cuda:0')",0.0,tensor(55.1306),"tensor(0.9486, device='cuda:0')",tensor(71.2200)
4,"tensor(1.2607, device='cuda:0')",0.0,tensor(57.0095),"tensor(1.0737, device='cuda:0')",tensor(65.9600)
5,"tensor(1.2342, device='cuda:0')",0.0,tensor(57.9863),"tensor(1.0367, device='cuda:0')",tensor(67.0500)
6,"tensor(1.2004, device='cuda:0')",0.0,tensor(59.0677),"tensor(1.0099, device='cuda:0')",tensor(68.6700)
7,"tensor(1.1755, device='cuda:0')",0.0,tensor(59.9862),"tensor(0.8343, device='cuda:0')",tensor(75.2200)
8,"tensor(1.1527, device='cuda:0')",0.0,tensor(61.4485),"tensor(0.9027, device='cuda:0')",tensor(72.7400)
9,"tensor(1.1438, device='cuda:0')",0.0,tensor(61.4357),"tensor(0.8255, device='cuda:0')",tensor(75.1500)
10,"tensor(1.1069, device='cuda:0')",0.0,tensor(63.1542),"tensor(0.8173, device='cuda:0')",tensor(74.4400)
11,"tensor(1.1128, device='cuda:0')",0.0,tensor(62.5874),"tensor(0.8894, device='cuda:0')",tensor(74.8200)
12,"tensor(1.1052, device='cuda:0')",0.0,tensor(63.1480),"tensor(0.7840, device='cuda:0')",tensor(76.5000)
13,"tensor(1.0902, device='cuda:0')",0.0,tensor(63.5684),"tensor(0.9525, device='cuda:0')",tensor(74.1600)
14,"tensor(1.0729, device='cuda:0')",0.0,tensor(64.0899),"tensor(0.7787, device='cuda:0')",tensor(75.4700)
15,"tensor(1.0845, device='cuda:0')",0.0,tensor(63.7330),"tensor(0.7887, device='cuda:0')",tensor(75.8800)
16,"tensor(1.0568, device='cuda:0')",0.0,tensor(64.9602),"tensor(0.8254, device='cuda:0')",tensor(77.1600)
17,"tensor(1.0605, device='cuda:0')",0.0,tensor(64.6255),"tensor(0.7816, device='cuda:0')",tensor(75.3900)
18,"tensor(1.0434, device='cuda:0')",0.0,tensor(65.2123),"tensor(0.8675, device='cuda:0')",tensor(74.2000)
19,"tensor(1.0560, device='cuda:0')",0.0,tensor(64.7336),"tensor(0.7365, device='cuda:0')",tensor(77.9200)
20,"tensor(1.0462, device='cuda:0')",0.0,tensor(65.3066),"tensor(0.7319, device='cuda:0')",tensor(77.6900)
21,"tensor(1.0569, device='cuda:0')",0.0,tensor(64.3693),"tensor(0.8474, device='cuda:0')",tensor(73.5000)
22,"tensor(1.0264, device='cuda:0')",0.0,tensor(65.7328),"tensor(0.7160, device='cuda:0')",tensor(78.1200)
23,"tensor(1.0208, device='cuda:0')",0.0,tensor(66.2139),"tensor(0.7352, device='cuda:0')",tensor(76.9700)
24,"tensor(1.0331, device='cuda:0')",0.0,tensor(65.7051),"tensor(0.7542, device='cuda:0')",tensor(76.3700)
25,"tensor(1.0031, device='cuda:0')",0.0,tensor(66.7205),"tensor(0.7212, device='cuda:0')",tensor(77.5600)
26,"tensor(1.0169, device='cuda:0')",0.0,tensor(66.5317),"tensor(0.7610, device='cuda:0')",tensor(77.4400)
27,"tensor(1.0109, device='cuda:0')",0.0,tensor(66.3433),"tensor(0.8155, device='cuda:0')",tensor(74.9300)
28,"tensor(1.0128, device='cuda:0')",0.0,tensor(66.4252),"tensor(0.7375, device='cuda:0')",tensor(78.9300)
29,"tensor(1.0011, device='cuda:0')",0.0,tensor(67.0343),"tensor(0.7180, device='cuda:0')",tensor(78.8500)
