epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(1.7333, device='cuda:0')",0.0,tensor(39.3799),"tensor(1.1499, device='cuda:0')",tensor(61.7400)
1,"tensor(1.3994, device='cuda:0')",0.0,tensor(51.3792),"tensor(0.9294, device='cuda:0')",tensor(69.9400)
2,"tensor(1.3037, device='cuda:0')",0.0,tensor(55.3760),"tensor(0.8431, device='cuda:0')",tensor(72.7200)
3,"tensor(1.2557, device='cuda:0')",0.0,tensor(56.8880),"tensor(0.9415, device='cuda:0')",tensor(70.2800)
4,"tensor(1.2112, device='cuda:0')",0.0,tensor(58.3391),"tensor(0.8276, device='cuda:0')",tensor(74.7100)
5,"tensor(1.1966, device='cuda:0')",0.0,tensor(58.7091),"tensor(0.9025, device='cuda:0')",tensor(76.0500)
6,"tensor(1.1778, device='cuda:0')",0.0,tensor(59.5382),"tensor(0.8087, device='cuda:0')",tensor(76.6200)
7,"tensor(1.1527, device='cuda:0')",0.0,tensor(60.4451),"tensor(0.8012, device='cuda:0')",tensor(76.3000)
8,"tensor(1.1488, device='cuda:0')",0.0,tensor(60.5774),"tensor(0.7704, device='cuda:0')",tensor(77.2800)
9,"tensor(1.1375, device='cuda:0')",0.0,tensor(61.0278),"tensor(0.8168, device='cuda:0')",tensor(75.4900)
10,"tensor(1.1269, device='cuda:0')",0.0,tensor(61.5662),"tensor(0.6920, device='cuda:0')",tensor(79.1700)
11,"tensor(1.1198, device='cuda:0')",0.0,tensor(61.5416),"tensor(0.8677, device='cuda:0')",tensor(75.0100)
12,"tensor(1.1440, device='cuda:0')",0.0,tensor(60.5554),"tensor(0.8204, device='cuda:0')",tensor(77.2300)
13,"tensor(1.1188, device='cuda:0')",0.0,tensor(61.5085),"tensor(0.8043, device='cuda:0')",tensor(79.0300)
14,"tensor(1.1159, device='cuda:0')",0.0,tensor(61.5262),"tensor(0.7955, device='cuda:0')",tensor(78.3400)
15,"tensor(1.1178, device='cuda:0')",0.0,tensor(61.5627),"tensor(0.8294, device='cuda:0')",tensor(78.3200)
16,"tensor(1.1095, device='cuda:0')",0.0,tensor(61.8756),"tensor(0.7635, device='cuda:0')",tensor(80.1700)
17,"tensor(1.0935, device='cuda:0')",0.0,tensor(62.4646),"tensor(0.9610, device='cuda:0')",tensor(77.0600)
18,"tensor(1.0986, device='cuda:0')",0.0,tensor(62.2386),"tensor(0.7500, device='cuda:0')",tensor(78.7500)
19,"tensor(1.1026, device='cuda:0')",0.0,tensor(62.0449),"tensor(0.9191, device='cuda:0')",tensor(74.9000)
20,"tensor(1.1038, device='cuda:0')",0.0,tensor(61.9949),"tensor(0.7838, device='cuda:0')",tensor(80.7900)
21,"tensor(1.0884, device='cuda:0')",0.0,tensor(62.6618),"tensor(0.7176, device='cuda:0')",tensor(79.9900)
22,"tensor(1.0818, device='cuda:0')",0.0,tensor(63.2573),"tensor(0.7445, device='cuda:0')",tensor(80.0500)
23,"tensor(1.0898, device='cuda:0')",0.0,tensor(62.4544),"tensor(0.7628, device='cuda:0')",tensor(77.1100)
24,"tensor(1.0846, device='cuda:0')",0.0,tensor(62.7730),"tensor(0.6846, device='cuda:0')",tensor(79.1600)
25,"tensor(1.0942, device='cuda:0')",0.0,tensor(62.2764),"tensor(0.7224, device='cuda:0')",tensor(82.3300)
26,"tensor(1.0587, device='cuda:0')",0.0,tensor(63.9383),"tensor(0.8021, device='cuda:0')",tensor(79.6800)
27,"tensor(1.0782, device='cuda:0')",0.0,tensor(62.7933),"tensor(0.6434, device='cuda:0')",tensor(81.9000)
28,"tensor(1.0600, device='cuda:0')",0.0,tensor(63.8398),"tensor(0.7467, device='cuda:0')",tensor(81.3600)
29,"tensor(1.0518, device='cuda:0')",0.0,tensor(64.3532),"tensor(0.6855, device='cuda:0')",tensor(81.1100)
