epoch,train loss,reg loss,train acc,test loss,test acc
0,"tensor(1.8809, device='cuda:0')",0.0,tensor(34.8699),"tensor(1.3911, device='cuda:0')",tensor(52.6000)
1,"tensor(1.5065, device='cuda:0')",0.0,tensor(48.1545),"tensor(1.3242, device='cuda:0')",tensor(57.3100)
2,"tensor(1.3962, device='cuda:0')",0.0,tensor(52.7664),"tensor(1.1488, device='cuda:0')",tensor(62.4500)
3,"tensor(1.3444, device='cuda:0')",0.0,tensor(55.5993),"tensor(1.0894, device='cuda:0')",tensor(66.3500)
4,"tensor(1.2820, device='cuda:0')",0.0,tensor(57.0650),"tensor(1.2615, device='cuda:0')",tensor(57.5000)
5,"tensor(1.2676, device='cuda:0')",0.0,tensor(57.9336),"tensor(0.9373, device='cuda:0')",tensor(71.1500)
6,"tensor(1.2373, device='cuda:0')",0.0,tensor(58.6707),"tensor(1.1060, device='cuda:0')",tensor(68.0700)
7,"tensor(1.1939, device='cuda:0')",0.0,tensor(60.6067),"tensor(1.0972, device='cuda:0')",tensor(67.8900)
8,"tensor(1.1939, device='cuda:0')",0.0,tensor(60.5827),"tensor(0.9282, device='cuda:0')",tensor(73.8600)
9,"tensor(1.1518, device='cuda:0')",0.0,tensor(62.1907),"tensor(0.9273, device='cuda:0')",tensor(72.4700)
10,"tensor(1.1649, device='cuda:0')",0.0,tensor(61.7164),"tensor(0.9758, device='cuda:0')",tensor(69.7300)
11,"tensor(1.1431, device='cuda:0')",0.0,tensor(62.9341),"tensor(0.9097, device='cuda:0')",tensor(74.4200)
12,"tensor(1.1476, device='cuda:0')",0.0,tensor(62.7877),"tensor(0.9629, device='cuda:0')",tensor(73.8700)
13,"tensor(1.1407, device='cuda:0')",0.0,tensor(63.4019),"tensor(0.8294, device='cuda:0')",tensor(75.0800)
14,"tensor(1.1065, device='cuda:0')",0.0,tensor(64.3079),"tensor(1.1083, device='cuda:0')",tensor(65.9900)
15,"tensor(1.1262, device='cuda:0')",0.0,tensor(63.1819),"tensor(0.9628, device='cuda:0')",tensor(69.4500)
16,"tensor(1.1226, device='cuda:0')",0.0,tensor(64.0045),"tensor(0.8510, device='cuda:0')",tensor(77.3200)
17,"tensor(1.0906, device='cuda:0')",0.0,tensor(64.7494),"tensor(0.9986, device='cuda:0')",tensor(74.8900)
18,"tensor(1.1165, device='cuda:0')",0.0,tensor(63.7127),"tensor(0.8170, device='cuda:0')",tensor(76.5200)
19,"tensor(1.0888, device='cuda:0')",0.0,tensor(65.2943),"tensor(0.7733, device='cuda:0')",tensor(78.0600)
20,"tensor(1.0663, device='cuda:0')",0.0,tensor(65.6215),"tensor(0.9420, device='cuda:0')",tensor(75.6900)
21,"tensor(1.0590, device='cuda:0')",0.0,tensor(66.2072),"tensor(0.9275, device='cuda:0')",tensor(74.3500)
22,"tensor(1.0551, device='cuda:0')",0.0,tensor(66.5175),"tensor(0.7751, device='cuda:0')",tensor(76.9400)
23,"tensor(1.0443, device='cuda:0')",0.0,tensor(66.5285),"tensor(0.8900, device='cuda:0')",tensor(74.5400)
24,"tensor(1.0459, device='cuda:0')",0.0,tensor(67.2152),"tensor(0.8153, device='cuda:0')",tensor(76.8400)
25,"tensor(1.0383, device='cuda:0')",0.0,tensor(66.9208),"tensor(0.8578, device='cuda:0')",tensor(78.5000)
26,"tensor(1.0275, device='cuda:0')",0.0,tensor(66.9116),"tensor(0.8216, device='cuda:0')",tensor(76.6500)
27,"tensor(1.0292, device='cuda:0')",0.0,tensor(67.0629),"tensor(0.8585, device='cuda:0')",tensor(75.7100)
28,"tensor(1.0197, device='cuda:0')",0.0,tensor(67.4291),"tensor(0.8267, device='cuda:0')",tensor(77.0400)
29,"tensor(1.0209, device='cuda:0')",0.0,tensor(67.4399),"tensor(0.8536, device='cuda:0')",tensor(77.8800)
